unix_time_ms,GPS_ts_tow,scaledAccelX,scaledAccelY,scaledAccelZ,deltaVelX,deltaVelY,deltaVelZ,estLinAccelX,estLinAccelY,estLinAccelZ,estLinAccel_valid,estAngRateX,estAngRateY,estAngRateZ,estAngRate_valid,estGravityX,estGravityY,estGravityZ,estGravity_valid,flag
1779390501742,414519.742000000,0.063755199,-0.134852991,-0.892478228,0.000618565,-0.001365513,-0.009115251,0.240385696,-1.029764652,1.042501688,1,0.054595280,0.014219732,-0.480034202,1,-0.385729522,0.293805867,9.794655800,1,1
1779390501752,414519.752000000,0.093149856,-0.164175242,-0.878727794,0.000877203,-0.001644945,-0.008683949,0.527046978,-1.313155293,1.177158713,1,0.061210364,-0.024101736,-0.484927773,1,-0.386147648,0.298165619,9.794507027,1,1
1779390501772,414519.772000000,0.044220019,-0.174135670,-0.907813907,0.000411278,-0.001662025,-0.009333051,0.048358459,-1.401560187,0.891680837,1,0.094122499,0.013441516,-0.475692034,1,-0.386173815,0.308478564,9.794186592,1,1
1779390501782,414519.782000000,0.067201078,-0.177681088,-0.914872527,0.000662962,-0.001889983,-0.009039820,0.272342622,-1.428244829,0.822149515,1,0.088249438,-0.019658860,-0.480319142,1,-0.386541903,0.316371471,9.793920517,1,1
1779390501802,414519.802000000,0.045016985,-0.197276697,-0.922964811,0.000496393,-0.002057631,-0.009386661,0.053387322,-1.606997252,0.742296159,1,0.094402142,0.015606448,-0.478714287,1,-0.389063716,0.329978168,9.793371201,1,1
1779390501812,414519.812000000,0.072732352,-0.175904587,-0.895868599,0.000616235,-0.001814972,-0.008951059,0.322148651,-1.391383171,1.007694602,1,0.060691543,0.002363678,-0.478406847,1,-0.391693592,0.334948033,9.793098450,1,1
1779390501822,414519.822000000,0.063273728,-0.176994011,-0.955376387,0.000773940,-0.001659626,-0.009411443,0.229676634,-1.399525523,0.424047381,1,0.034392733,-0.031752151,-0.479445428,1,-0.390459090,0.337003976,9.793076515,1,1
1779390501842,414519.842000000,0.067047149,-0.153143823,-0.978318453,0.000619855,-0.001650745,-0.009742192,0.265909284,-1.159094095,0.198804706,1,0.035425998,-0.024587303,-0.484261900,1,-0.391360909,0.343235940,9.792824745,1,1
1779390501852,414519.852000000,0.031784814,-0.163246527,-1.019499302,0.000436980,-0.001490712,-0.010158145,-0.078445077,-1.257345200,-0.205011830,1,0.025243927,-0.027486622,-0.480429262,1,-0.389816195,0.343746692,9.792867661,1,1
1779390501872,414519.872000000,0.050045688,-0.152126461,-1.001504183,0.000541523,-0.001613399,-0.010061062,0.100788832,-1.143078923,-0.028718801,1,0.045579970,-0.028216394,-0.487273782,1,-0.389652967,0.349587977,9.792667389,1,1
1779390501882,414519.882000000,0.027282678,-0.186047077,-1.003695011,0.000354777,-0.001753289,-0.010034962,-0.120705724,-1.472592592,-0.050245862,1,0.066301733,-0.040365130,-0.482962757,1,-0.387539834,0.353375673,9.792615891,1,1
1779390501902,414519.902000000,0.049861722,-0.203324929,-0.995117009,0.000504328,-0.001897062,-0.009975388,0.102303796,-1.632556081,0.033592977,1,0.060976081,-0.024369059,-0.482284904,1,-0.386467576,0.362687469,9.792317390,1,1
1779390501912,414519.912000000,0.056560457,-0.224904835,-1.013813615,0.000622933,-0.002334152,-0.010178864,0.169318900,-1.839283466,-0.149887964,1,0.070907079,-0.036585495,-0.486567587,1,-0.384776294,0.367892981,9.792189598,1,1
1779390501932,414519.932000000,0.074771322,-0.216181353,-1.000360966,0.000822767,-0.002082929,-0.010030467,0.348527193,-1.745881200,-0.018235141,1,0.048889726,-0.025586145,-0.480703235,1,-0.384503782,0.375068814,9.791928291,1,1
1779390501942,414519.942000000,0.044215858,-0.252563983,-1.008721828,0.000467898,-0.002540712,-0.010113643,0.049706385,-2.098132372,-0.100368410,1,0.073855132,-0.022829670,-0.482485056,1,-0.383772671,0.380386829,9.791751862,1,1
1779390501952,414519.952000000,0.051197432,-0.236334682,-0.987030804,0.000455777,-0.002368692,-0.009900650,0.117851742,-1.933812618,0.112133346,1,0.067064531,-0.009815202,-0.482645601,1,-0.384507000,0.385338992,9.791529655,1,1
1779390501962,414519.962000000,0.070258066,-0.233651891,-0.977929175,0.000688306,-0.002330099,-0.009791174,0.303719819,-1.903154254,0.201176658,1,0.060176916,-0.005000970,-0.480017602,1,-0.385713369,0.389475137,9.791318893,1,1
1779390501972,414519.972000000,0.034960095,-0.248981640,-0.940958321,0.000407491,-0.002481319,-0.009514347,-0.044315107,-2.050213814,0.563533247,1,0.047724225,0.008106287,-0.479593337,1,-0.388006598,0.392358571,9.791112900,1,1
1779390501982,414519.982000000,0.057370644,-0.245048076,-0.919385135,0.000459566,-0.002446387,-0.009174787,0.172337860,-2.008962631,0.774862170,1,0.040876653,0.008926368,-0.480500400,1,-0.391156882,0.394815475,9.790888786,1,1
