time,Vehicle speed (km/h)
12:04:03.297,15.0
12:04:04.026,14.0
12:04:04.742,13.0
12:04:05.634,15.0
12:04:06.242,14.0
12:04:07.030,14.0
12:04:07.797,16.0
12:04:08.694,18.0
12:04:09.532,18.0
12:04:10.237,18.0
12:04:11.245,18.0
12:04:11.941,18.0
12:04:13.040,20.0
12:04:13.732,19.0
12:04:14.435,21.0
12:04:15.163,23.0
12:04:16.168,21.0
12:04:17.238,23.0
12:04:17.964,22.0
12:04:20.854,17.0
12:04:21.897,14.0
12:04:23.301,8.0
12:04:24.508,5.0
12:04:25.298,3.0
12:04:26.464,3.0
12:04:32.063,0.0
12:04:48.139,3.0
12:04:49.564,0.0
12:04:50.269,0.0
12:04:50.938,0.0
12:04:51.933,0.0
12:04:52.958,0.0
12:04:54.079,0.0
12:04:54.785,0.0
12:04:55.926,0.0
12:04:57.060,0.0
12:04:57.761,0.0
12:04:58.447,0.0
12:04:59.195,0.0
12:05:00.311,0.0
12:05:01.068,0.0
12:05:01.778,0.0
12:05:02.662,0.0
12:05:03.832,0.0
12:05:04.714,0.0
12:05:05.514,0.0
12:05:06.218,0.0
12:05:06.971,0.0
12:05:08.060,0.0
12:05:08.782,0.0
12:05:09.495,5.0
12:05:10.309,0.0
12:05:10.989,0.0
12:05:11.691,0.0
12:05:12.840,0.0
12:05:13.935,0.0
12:05:15.082,0.0
12:05:16.376,0.0
12:05:17.523,0.0
12:05:18.326,0.0
12:05:19.536,0.0
12:05:20.457,0.0
12:05:21.486,0.0
12:05:22.587,0.0
12:05:23.743,0.0
12:05:24.472,0.0
12:05:25.170,0.0
12:05:26.276,0.0
12:05:26.968,0.0
12:05:27.578,0.0
12:05:28.368,0.0
12:05:30.130,0.0
12:05:30.877,5.0
12:05:32.092,0.0
12:05:32.802,0.0
12:05:38.088,0.0
12:05:39.550,0.0
12:05:40.690,0.0
12:05:42.295,0.0
12:05:42.982,0.0
12:05:43.787,5.0
12:05:44.606,0.0
12:05:46.461,0.0
12:05:47.594,0.0
12:05:48.685,0.0
12:05:49.494,0.0
12:05:50.255,0.0
12:05:50.955,0.0
12:05:51.736,0.0
12:05:52.835,0.0
12:05:53.656,0.0
12:05:55.149,0.0
12:05:56.417,0.0
12:05:57.911,0.0
12:05:58.634,0.0
12:05:59.403,0.0
12:06:00.255,0.0
12:06:00.944,0.0
12:06:02.055,0.0
12:06:02.813,0.0
12:06:04.803,0.0
12:06:05.615,0.0
12:06:06.352,0.0
12:06:07.100,0.0
12:06:07.818,0.0
12:06:09.007,5.0
12:06:09.765,0.0
12:06:10.542,0.0
12:06:11.715,0.0
12:06:12.534,0.0
12:06:13.656,0.0
12:06:14.630,0.0
12:06:15.325,0.0
12:06:16.152,0.0
12:06:17.280,0.0
12:06:18.012,0.0
12:06:19.088,0.0
12:06:20.127,1.0
12:06:21.162,0.0
12:06:22.022,0.0
12:06:23.140,0.0
12:06:23.964,0.0
12:06:24.811,0.0
12:06:25.692,0.0
12:06:26.460,0.0
12:06:27.238,0.0
12:06:28.024,0.0
12:06:28.799,0.0
12:06:29.993,0.0
12:06:30.877,0.0
12:06:31.933,0.0
12:06:33.101,0.0
12:06:33.858,0.0
12:06:35.036,0.0
12:06:36.203,0.0
12:06:37.494,1.0
12:06:38.646,5.0
12:06:39.397,7.0
12:06:40.560,13.0
12:06:41.448,12.0
12:06:42.560,12.0
12:06:43.676,12.0
12:06:44.386,14.0
12:06:45.138,13.0
12:06:46.041,13.0
12:06:47.211,17.0
12:06:47.979,21.0
12:06:48.679,23.0
12:06:49.500,25.0
12:06:50.338,30.0
12:06:51.088,30.0
12:06:51.872,34.0
12:06:53.046,36.0
12:06:54.326,39.0
12:06:55.051,15.0
12:06:55.853,42.0
12:06:56.667,45.0
12:06:57.414,49.0
12:06:58.311,48.0
12:06:59.148,48.0
12:07:00.251,45.0
12:07:00.991,44.0
12:07:01.787,42.0
12:07:02.626,40.0
12:07:03.366,39.0
12:07:04.147,37.0
12:07:04.873,35.0
12:07:05.652,34.0
12:07:06.435,31.0
12:07:07.313,28.0
12:07:08.391,24.0
12:07:09.158,19.0
12:07:10.312,16.0
12:07:11.059,15.0
12:07:11.908,18.0
12:07:12.754,20.0
12:07:14.783,33.0
12:07:15.494,5.0
12:07:16.383,34.0
12:07:17.723,30.0
12:07:18.575,25.0
12:07:19.303,23.0
12:07:20.085,19.0
12:07:20.897,17.0
12:07:21.713,16.0
12:07:22.578,18.0
12:07:23.338,22.0
12:07:24.072,24.0
12:07:24.859,29.0
12:07:25.606,34.0
12:07:26.345,37.0
12:07:27.171,43.0
12:07:28.387,46.0
12:07:29.147,45.0
12:07:29.884,45.0
12:07:30.715,44.0
12:07:31.421,43.0
12:07:32.321,41.0
12:07:33.494,40.0
12:07:34.270,39.0
12:07:35.003,39.0
12:07:37.311,37.0
12:07:38.095,35.0
12:07:38.813,32.0
12:07:39.610,31.0
12:07:40.676,21.0
12:07:41.876,15.0
12:07:43.334,7.0
12:07:44.479,10.0
12:07:45.335,12.0
12:07:46.604,14.0
12:07:47.490,18.0
12:07:48.262,1.0
12:07:49.366,13.0
12:07:50.620,7.0
12:07:51.353,6.0
12:07:52.243,4.0
12:07:53.044,3.0
12:07:53.890,7.0
12:07:54.687,10.0
12:07:55.464,15.0
12:07:56.245,17.0
12:07:57.060,19.0
12:07:57.805,23.0
12:07:58.654,22.0
12:07:59.475,24.0
12:08:00.697,27.0
12:08:01.947,27.0
12:08:03.077,25.0
12:08:04.779,23.0
12:08:05.499,23.0
12:08:06.265,23.0
12:08:06.977,23.0
12:08:07.910,21.0
12:08:09.310,19.0
12:08:10.399,15.0
12:08:11.246,12.0
12:08:12.409,5.0
12:08:13.234,3.0
12:08:14.199,3.0
12:08:14.951,3.0
12:08:16.135,0.0
12:08:17.593,0.0
12:08:18.803,0.0
12:08:19.635,0.0
12:08:20.592,3.0
12:08:21.319,7.0
12:08:22.146,10.0
12:08:23.283,17.0
12:08:24.031,22.0
12:08:26.007,23.0
12:08:27.102,27.0
12:08:28.250,26.0
12:08:29.031,26.0
12:08:30.104,30.0
12:08:31.264,30.0
